WardCode,WardName
JI2507,Jigawa_Sule Tankakar_Shabaru
JI2508,Jigawa_Sule Tankakar_Sule Tankarkar
JI2509,Jigawa_Sule Tankakar_Takatsaba
JI2510,Jigawa_Sule Tankakar_Yandamo
JI2601,Jigawa_Taura_Ajaura
JI2602,Jigawa_Taura_Chukuto
JI2603,Jigawa_Taura_Chukwukwaiwa
JI2604,Jigawa_Taura_Gujungu
JI2605,Jigawa_Taura_Kiri
JI2606,Jigawa_Taura_Kwalam
JI2607,Jigawa_Taura_Maje
JI2608,Jigawa_Taura_Majia
JI2609,Jigawa_Taura_Sabon Gari
JI2610,Jigawa_Taura_Taura
JI2701,Jigawa_Yankwashi_Achilafiya
JI2702,Jigawa_Yankwashi_Belas
JI2703,Jigawa_Yankwashi_Dawan Gawo
JI2704,Jigawa_Yankwashi_Gurjiya
JI2705,Jigawa_Yankwashi_Gwarta
JI2706,Jigawa_Yankwashi_Karkarna
JI2707,Jigawa_Yankwashi_Kuda
JI2708,Jigawa_Yankwashi_Ringim
JI2709,Jigawa_Yankwashi_Yankwashi
JI2710,Jigawa_Yankwashi_Zungumba
JI0208,Jigawa_Babura_Kanya
JI0908,Jigawa_Gumel_Hammado
JI2207,Jigawa_Miga_Sabon Gari
JI2208,Jigawa_Miga_San Sani
KN0101,Kano_Ajingi_Ajingi
KN0102,Kano_Ajingi_Balare
KN0103,Kano_Ajingi_Chula
KN0104,Kano_Ajingi_Dabin-Kanawa
KN0105,Kano_Ajingi_Dundun
KN0106,Kano_Ajingi_Gafasa
KN0107,Kano_Ajingi_Gurduba
KN0108,Kano_Ajingi_Kunkun Rawa
KN0109,Kano_Ajingi_Toranke
KN0110,Kano_Ajingi_Unguwar Bai
KN0201,Kano_Albasu_Albasu Central
KN0202,Kano_Albasu_Bataiya
KN0203,Kano_Albasu_Daho
KN0204,Kano_Albasu_Duja
KN0205,Kano_Albasu_Fanda
KN0206,Kano_Albasu_Faragai
KN0207,Kano_Albasu_Gagarame
KN0208,Kano_Albasu_Hungu
KN0209,Kano_Albasu_Saya-Saya
KN0210,Kano_Albasu_Tsangaya
KN0301,Kano_Bagwai_Bagwai
KN0302,Kano_Bagwai_Dangada
KN0303,Kano_Bagwai_Gadanya
KN0304,Kano_Bagwai_Gogori
KN0305,Kano_Bagwai_Kiyawa
KN0306,Kano_Bagwai_Kwajali
KN0307,Kano_Bagwai_Rimin Dako
KN0308,Kano_Bagwai_Romo
KN0309,Kano_Bagwai_Sare-Sare
KN0310,Kano_Bagwai_Wuro Bagga
KN0311,Kano_Bagwai_Wuro Bagga 2
KN0401,Kano_Bebeji_Anadariya
KN0402,Kano_Bebeji_Baguda
KN0403,Kano_Bebeji_Bebeji
KN0404,Kano_Bebeji_Damau
KN0405,Kano_Bebeji_Durmawa
